M1,M2,M3,Datetime
662,647,675,19
664,649,678,19
663,649,676,19
666,651,680,19
662,647,674,19
662,648,675,19
663,648,677,19
664,649,678,20
666,652,679,20
663,649,676,20
664,651,681,20
664,649,677,20
663,649,675,20
661,647,675,20
664,647,675,20
661,647,675,20
663,649,677,20
663,648,676,20
661,648,676,20
663,650,679,20
661,647,675,20
667,650,678,20
661,647,677,20
664,651,678,20
661,647,674,20
664,652,680,20
660,647,675,20
660,647,676,21
662,649,676,21
663,648,677,21
663,649,678,21
662,649,677,21
661,649,677,21
662,649,678,21
663,649,678,21
660,647,675,21
659,647,675,21
661,648,676,21
659,647,678,21
661,649,678,21
664,651,679,21
663,650,679,21
664,653,682,21
661,649,677,21
660,650,675,21
658,647,675,21
660,649,677,21
659,647,675,22
660,649,678,22
659,650,678,22
663,652,680,22
658,648,677,22
662,651,679,22
659,648,675,22
662,650,680,22
661,648,675,22
657,647,675,22
656,646,675,22
659,649,678,22
658,648,675,22
662,651,679,22
659,647,675,22
659,649,678,22
657,647,675,22
658,649,677,22
657,646,675,22
658,650,677,22
658,648,676,23
661,651,679,23
661,650,679,23
659,648,677,23
656,647,675,23
657,648,676,23
657,647,675,23
656,648,678,23
656,648,678,23
659,649,677,23
657,646,676,23
656,646,676,23
656,646,675,23
657,648,677,23
656,646,678,23
659,648,675,23
656,646,675,23
655,648,675,23
660,651,680,23
656,647,676,23
658,648,678,24
657,647,677,24
655,647,676,24
655,646,675,24
656,647,674,24
655,647,676,24
655,646,676,24
656,648,676,24
656,648,676,24
658,649,678,24
657,649,681,24
656,647,676,24
654,646,675,24
654,646,675,24
656,647,675,24
655,650,678,24
657,647,675,24
657,651,679,24
654,648,675,24
654,647,674,24
654,647,674,25
654,646,675,25
654,647,674,25
659,651,680,25
656,649,677,25
656,650,678,25
657,650,678,25
656,649,678,25
653,648,675,25
654,647,674,25
655,649,678,25
655,647,676,25
653,647,676,25
654,648,677,25
654,648,678,25
655,649,677,25
653,646,675,25
658,651,680,25
658,651,680,25
651,646,675,25
653,646,675,26
652,649,679,26
654,647,676,26
653,646,674,26
654,649,677,26
654,646,675,26
653,646,675,26
653,647,675,26
652,647,675,26
652,646,675,26
652,646,675,26
657,649,678,26
652,646,675,26
653,646,675,26
652,647,675,26
656,651,679,26
652,646,675,26
654,649,679,26
652,646,677,26
653,647,676,26
656,649,676,27
653,647,677,27
